shrid2,viirs_annual_min,viirs_annual_max,viirs_annual_mean,viirs_annual_sum,viirs_annual_num_cells,category,year
11-01-019-00072-004909,0.0,1.571627140045166,0.5918209811100983,8.915837626100299,15.065092165837996,median-masked,2022
11-01-019-00072-004910,2.134188175201416,2.5539348125457764,2.3834018329036453,6.24209319224407,2.618984808214009,median-masked,2022
11-01-019-00072-004911,1.2263413667678833,3.2279889583587646,2.079194783787313,12.588822673157946,6.054662493057549,median-masked,2022
11-01-019-00072-004912,1.7775191068649292,3.660902976989746,2.5269298172346355,12.08229042164381,4.781411157222465,median-masked,2022
11-01-019-00072-004913,2.4926066398620605,7.117401599884033,4.547309416360251,8.169243778580341,1.7965005304431545,median-masked,2022
11-01-019-00072-004915,3.206373929977417,6.880975723266602,4.905454838306404,9.014615837752135,1.83767176233232,median-masked,2022
11-01-019-00072-004916,3.133000612258911,7.208335399627685,3.926392560649896,13.96422378261854,3.5565022006630898,median-masked,2022
11-01-019-00072-004917,3.773559331893921,12.323524475097656,7.130297284812021,17.021934491692903,2.387268554419279,median-masked,2022
11-01-019-00072-004918,1.4367003440856934,12.323524475097656,7.573602286530717,225.4918614925208,29.77339619398117,median-masked,2022
11-01-019-00072-004919,2.481606960296631,12.323524475097656,6.107236473047789,35.50718275914906,5.813952499767765,median-masked,2022
11-01-019-00072-004920,1.5504508018493652,11.134428977966309,5.173356054383693,48.02920646705333,9.283955320715904,median-masked,2022
11-01-019-00072-004921,0.9725719690322876,2.6850454807281494,1.5881145125769087,25.4783662217459,16.04315433173906,median-masked,2022
11-01-019-00072-004922,1.0099350214004517,2.308488607406616,1.5535644849625383,6.311912478177557,4.062858374578354,median-masked,2022
11-01-019-00072-004923,1.0099350214004517,1.4073773622512815,1.14864496852817,3.0915344874248425,2.691462176851928,median-masked,2022
11-01-019-00072-004924,0.0,1.0356099605560305,0.8000932855350061,2.631144941506728,3.288547709467821,median-masked,2022
11-01-019-00072-004925,0.0,1.1367793083190918,0.5951197142618893,2.970091475965004,4.990746239433065,median-masked,2022
11-01-019-00072-004926,0.9387206435203552,1.9119391441345213,1.1697959890878364,5.152850279478504,4.4049136153189465,median-masked,2022
11-01-019-00072-004927,1.019469976425171,3.3950114250183105,1.71232829503907,6.694198804055618,3.909413179382682,median-masked,2022
11-01-019-00072-004928,1.2145122289657593,6.823331356048584,3.373349950549441,18.87644537526835,5.595756637165323,median-masked,2022
11-01-019-00072-004929,2.1402428150177,6.814024925231934,4.178823939329908,43.74920841000317,10.469263372942804,median-masked,2022
11-01-019-00072-004930,1.2849944829940796,4.48353385925293,2.4091340408773982,7.039764408465153,2.9221140414010733,median-masked,2022
11-01-019-00072-004931,0.0,2.531912326812744,1.274518674964861,20.15642460202864,15.81493076402694,median-masked,2022
11-01-019-00072-004932,0.0,1.6719098091125488,0.9474698566253298,18.141753430038413,19.14757847247529,median-masked,2022
11-01-019-00072-004933,1.0078318119049072,1.5277738571166992,1.309439729714459,9.625422368642544,7.350794504105579,median-masked,2022
11-01-019-00072-004934,0.0,1.0871042013168335,0.4219415736989758,9.578912710218106,22.701988396744127,median-masked,2022
11-01-019-00072-004935,0.0,1.3738811016082764,0.4420068607858903,5.087742242823001,11.51055038778577,median-masked,2022
11-01-019-00072-004936,0.0,0.7144739627838135,0.0466828889290481,0.1552262959673171,3.3251218921614054,median-masked,2022
11-01-019-00072-004937,0.0,1.1721787452697754,0.358876394096265,5.838416672092162,16.268600465613417,median-masked,2022
11-01-019-00072-004938,0.0,0.9298688173294068,0.0359392988254976,1.1226013697562334,31.23603983502835,median-masked,2022
11-01-019-00072-004939,0.0,0.8222483396530151,0.1052103771193455,0.8200084910318619,7.793988706092023,median-masked,2022
11-01-019-00072-004940,0.0,1.1845794916152954,0.353203580686346,9.63797704840508,27.28731410275213,median-masked,2022
11-01-019-00072-004941,0.0,3.2037808895111084,0.4013911683459396,30.276262036937503,75.42832135968638,median-masked,2022
11-01-019-00072-004942,0.0,2.0499134063720703,0.9998333575735314,21.125669308985305,21.129190328530967,median-masked,2022
11-01-019-00072-004943,0.0,4.8595380783081055,2.020525131043029,99.5075426904138,49.2483568561438,median-masked,2022
11-01-019-00072-004944,0.0,1.5822153091430664,1.0340311566190152,21.93548455486249,21.213562487406307,median-masked,2022
11-01-019-00072-004945,0.0,1.5576858520507812,0.914815225003036,33.31251747299972,36.41447645658627,median-masked,2022
11-01-019-00072-004946,0.0,1.5822153091430664,0.7648656694334496,16.13008758205706,21.0887849025894,median-masked,2022
11-01-019-00072-004947,0.0,1.0457931756973269,0.1000362023877297,1.1699246620238262,11.69501274637878,median-masked,2022
